9DC	20060107	000028703	708f
9DD	20060107	000028703	10ef
9DE	20060107	000028812	708f
9DF	20060107	000028812	10ef
9E0	20060107	000028921	708f
9E1	20060107	000028921	10ef
9E2	20060107	000029031	708f
9E3	20060107	000029031	10ef
9E4	20060107	000029140	708f
9E5	20060107	000029140	10ef
9E6	20060107	000037000	708f
9E7	20060107	000037015	10ef
9E8	20060107	000037109	708f
9E9	20060107	000037125	10ef
9EA	20060107	000037218	708f
9EB	20060107	000037234	10ef
9EC	20060107	000037328	708f
9ED	20060107	000037343	10ef
9EE	20060107	000037656	609f
9EF	20060107	000037656	20df
9F0	20060107	000037765	609f
9F1	20060107	000037765	20df
9F2	20060107	000037875	609f
9F3	20060107	000037875	20df
